model,accuracy,precision,recall,f1,auc
Random Forest Full Training Data,0.7081490511480625,0.355997121567353,0.5710455764075067,0.4385786802030457,0.7249474470175153
Random Forest Tuned,0.7439400584251957,0.38602654176424667,0.4787384569556151,0.4274126525049034,0.72613428287554
